#,INSTITUCION,TIPO DE ÓRGANO COLEGIADO,FECHA DE LA SESIÓN,ORDINARIA/EXTRAORDINARIA,Responsable,Año,ÓC
1,INECC,JUNTA DE GOBIERNO,29/10/2024,EXTRAORDINARIA,Tania,2024,ÓRGANO DE GOBIERNO
2,CONAZA,COCODI,12/11/2024,ORDINARIA,Esperanza,2024,COCODI
3,SEMARNAT,COCODI,12/11/2024,ORDINARIA,Tania,2024,COCODI
4,FONART,COCODI,14/11/2024,ORDINARIA,Esperanza,2024,COCODI
5,COLPOS,COCODI,14/11/2024,ORDINARIA,Esperanza,2024,COCODI
6,SENASICA,COCODI,14/11/2024,ORDINARIA,Tania,2024,COCODI
7,INCA_RURAL,COCODI,15/11/2024,ORDINARIA,Esperanza,2024,COCODI
8,PRONABIVE,COCODI,15/11/2024,ORDINARIA,Tania,2024,COCODI
9,SIAP,COCODI,19/11/2024,ORDINARIA,Tania,2024,COCODI
10,INECC,COCODI,19/11/2024,ORDINARIA,Tania,2024,COCODI
11,FIDEMAR,COMITÉ TÉCNICO,20/11/2024,ORDINARIA,Esperanza,2024,ÓRGANO DE GOBIERNO
12,SNICS,CONSEJO TÉCNICO,22/11/2024,ORDINARIA,Tania,2024,ÓRGANO DE GOBIERNO
13,CSAEGRO,COCODI,26/11/2024,ORDINARIA,Tania,2024,COCODI
14,CONADESUCA,COCODI,26/11/2024,ORDINARIA,Tania,2024,COCODI
15,INIFAP,COCODI,27/11/2024,ORDINARIA,Esperanza,2024,COCODI
16,FIRCO,COCODI,28/11/2024,ORDINARIA,Esperanza,2024,COCODI
17,SADER,COCODI,03/12/2024,ORDINARIA,Tania,2024,COCODI
18,CONAZA,CONSEJO DIRECTIVO,04/12/2024,ORDINARIA,Esperanza,2024,ÓRGANO DE GOBIERNO
19,CONAPESCA,COCODI,04/12/2024,ORDINARIA,Tania,2024,COCODI
20,PROFEPA,COCODI,04/12/2024,ORDINARIA,Tania,2024,COCODI
21,SNICS,COCODI,05/12/2024,ORDINARIA,Tania,2024,COCODI
22,INECC,JUNTA DE GOBIERNO,10/12/2024,ORDINARIA,Tania,2024,ÓRGANO DE GOBIERNO
23,FIDEMAR,COMITÉ TÉCNICO,11/12/2024,ORDINARIA,Esperanza,2024,ÓRGANO DE GOBIERNO
24,FIRCO,COMITÉ TÉCNICO,11/12/2024,ORDINARIA,Esperanza,2024,ÓRGANO DE GOBIERNO
25,CONADESUCA,JUNTA DIRECTIVA,12/12/2024,ORDINARIA,Tania,2024,ÓRGANO DE GOBIERNO
26,IMIPAS,JUNTA DE GOBIERNO,12/12/2024,ORDINARIA,Esperanza,2024,ÓRGANO DE GOBIERNO
27,CONAPESCA,CONSEJO TÉCNICO,16/12/2024,ORDINARIA,Tania,2024,ÓRGANO DE GOBIERNO
28,SNICS,CONSEJO TÉCNICO,17/12/2024,ORDINARIA,Tania,2024,ÓRGANO DE GOBIERNO
29,INCA_RURAL,JUNTA DIRECTIVA,17/12/2024,ORDINARIA,Esperanza,2024,ÓRGANO DE GOBIERNO
30,COLPOS,JUNTA DIRECTIVA,21/01/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
31,SEGALMEX,CONSEJO DE ADMINISTRACIÓN,29/01/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
32,IMIPAS,JUNTA DE GOBIERNO,30/01/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
33,FIDEICOMISO_1490,COMITÉ TÉCNICO,30/01/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
34,IMCINE,JUNTA DIRECTIVA,31/01/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
35,CONAGUA,CONSEJO TÉCNICO,31/01/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
36,INECC,JUNTA DE GOBIERNO,31/01/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
37,FONATUR,COMITÉ TÉCNICO,12/02/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
38,INIFAP,JUNTA DE GOBIERNO,13/02/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
39,CCC,CONSEJO DIRECTIVO,14/02/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
40,IMIPAS,JUNTA DE GOBIERNO,17/02/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
41,ECHASA,CONSEJO DE ADMINISTRACIÓN,18/02/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
42,CONAZA,COCODI,19/02/2025,ORDINARIA,Esperanza,2025,COCODI
43,INECC,COCODI,19/02/2025,ORDINARIA,Tania,2025,COCODI
44,CONAFOR,COCODI,20/02/2025,ORDINARIA,Esperanza,2025,COCODI
45,IMCINE,JUNTA DIRECTIVA,20/02/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
46,AGN,ÓRGANO DE GOBIERNO,21/02/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
47,CECUT,CONSEJO DE ADMINISTRACIÓN,21/02/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
48,CONAGUA,CONSEJO TÉCNICO,21/02/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
49,SEMARNAT,COCODI,21/02/2025,ORDINARIA,Tania,2025,COCODI
50,SESNA,ÓRGANO DE GOBIERNO,25/02/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
51,FONATUR_INFRAESTRUCTURA,CONSEJO DE ADMINISTRACIÓN,26/02/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
52,TGM,COCODI,27/02/2025,ORDINARIA,Esperanza,2025,COCODI
53,CONAPRED,JUNTA DE GOBIERNO,27/02/2025,ORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
54,SEGALMEX,COCODI,27/02/2025,ORDINARIA,Esperanza,2025,COCODI
55,DICONSA,COCODI,27/02/2025,ORDINARIA,Esperanza,2025,COCODI
56,LICONSA,COCODI,27/02/2025,ORDINARIA,Esperanza,2025,COCODI
57,SECTUR,COCODI,27/02/2025,ORDINARIA,Tania,2025,COCODI
58,SENASICA,COCODI,27/02/2025,ORDINARIA,Tania,2025,COCODI
59,CCC,CONSEJO DIRECTIVO,03/03/2025,ORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
60,INALI,COCODI,04/03/2025,ORDINARIA,Esperanza,2025,COCODI
61,SADER,COCODI,04/03/2025,ORDINARIA,Tania,2025,COCODI
62,PROFEPA,COCODI,05/03/2025,ORDINARIA,Tania,2025,COCODI
63,COLPOS,JUNTA DIRECTIVA,06/03/2025,EXTRAORDINARIA,Esperanza,2025,ÓRGANO DE GOBIERNO
64,CSAEGRO,COCODI,06/03/2025,ORDINARIA,Tania,2025,COCODI
65,CONANP,COCODI,06/03/2025,ORDINARIA,Tania,2025,COCODI
66,IMTA,JUNTA DE GOBIERNO,06/03/2025,EXTRAORDINARIA,Tania,2025,ÓRGANO DE GOBIERNO
67,INEHRM,COCODI,06/03/2025,ORDINARIA,Tania,2025,COCODI
